Crop,Year,Rainfall,Temp,N,P ,K ,Yield
Rice,2002,1334.194, 26.11,28.97,73.84,54.4,0.58
Rice,2003,2068.896,25.23,28.97,73.84,54.4,0.72
Rice,2004,1834.359,26.6,28.97,73.84,54.4,1.62
Rice,2005,1224.952,24.94,28.97,73.84,54.4,2.18
Rice,2006,1750.977,25.18,28.97,73.84,54.4,1.48
Rice,2007,1719.052,26.23,28.97,73.84,54.4,1.44
Rice,2008,2083.291,28.8,28.97,73.84,54.4,1.31
Rice,2009,1682.053,24.3,28.97,73.84,54.4,1.17
Rice,2010,2056.684,25.19,28.97,73.84,54.4,2.04
Rice,2011,1836.464,27.99,28.97,73.84,54.4,2.33
Rice,2012,1752.294,24.52,28.97,73.84,54.4,1.49
Rice,2013,2042.12,28.97,28.97,73.84,54.4,2.11
Rice,2014,1926.984,26.57,28.97,73.84,54.4,2.95
Rice,2015,1826.553,24.23,28.97,73.84,54.4,0.66
Rice,2016,2042.951,27.65,28.97,73.84,54.4,1.89
Rice,2017,1635.014,29.84,28.97,73.84,54.4,2.3
Soyabean,1997,2015.932,25.84,28.97,73.84,54.4,1.11
Soyabean,1998,1737.503,26.06,28.97,73.84,54.4,0.92
Soyabean,1999,1622.36,25.58,28.97,73.84,54.4,1.08
Soyabean,2000,1628.754,25.6,28.97,73.84,54.4,0.84
Soyabean,2001,1134.703,25.8,28.97,73.84,54.4,0.86
Soyabean,2002,1334.194, 26.11,28.97,73.84,54.4,0.44
Soyabean,2003,2068.896,25.23,28.97,73.84,54.4,0.61
Soyabean,2004,1834.359,26.6,28.97,73.84,54.4,0.55
Soyabean,2005,1224.952,24.94,28.97,73.84,54.4,0.77
Soyabean,2006,1750.977,25.18,28.97,73.84,54.4,0.86
Soyabean,2007,1719.052,26.23,28.97,73.84,54.4,0.67
Soyabean,2008,2083.291,28.8,28.97,73.84,54.4,0.51
Soyabean,2009,1682.053,24.3,28.97,73.84,54.4,0.82
Soyabean,2010,2056.684,25.19,28.97,73.84,54.4,1.01
Soyabean,2011,1836.464,27.99,28.97,73.84,54.4,0.67
Soyabean,2012,1752.294,24.52,28.97,73.84,54.4,0.74
Soyabean,2013,2042.12,28.97,28.97,73.84,54.4,0.91
Soyabean,2014,1926.984,26.57,28.97,73.84,54.4,0.34
Soyabean,2015,1826.553,24.23,28.97,73.84,54.4,1.07
Soyabean,2016,2042.951,27.65,28.97,73.84,54.4,1.23
Sugarcane,1997,1635.014,29.84,28.97,73.84,54.4,89.3
